Nom_UTF Nom_ASCII Noms_Alternatius Latitud Longitud CodiToponim Poblacio
Bosc_del_Soleador Bosc_del_Soleador NULL 42.6 1.51667 FRST 0
Camí_de_Soldeu Cami_de_Soldeu NULL 42.58333 1.66667 TRL 0
Bosc_de_Soldeu Bosc_de_Soldeu Bois_de_Soldeu,Bosc_de_Soldeu,Bosque_de_Soldeu 42.57107 1.65402 FRST 0
Soldeu Soldeu NULL 42.57688 1.66769 PPL 0
Solana_del_Solanyó Solana_del_Solanyo NULL 42.53333 1.55 SLP 0
Riu_del_Solanyò Riu_del_Solanyo NULL 42.53333 1.55 STM 0
Bosc_del_Solanyó Bosc_del_Solanyo NULL 42.55 1.45 FRST 0
Barranc_del_Solanyó Barranc_del_Solanyo NULL 42.55 1.45 STM 0
Solans Solans NULL 42.53333 1.6 LCTY 0
Solanet_de_Ràmio Solanet_de_Ramio NULL 42.5 1.56667 LCTY 0
Terregalls_del_Solanet Terregalls_del_Solanet NULL 42.63333 1.6 RDGE 0
Bosc_del_Solanet Bosc_del_Solanet NULL 42.55 1.48333 FRST 0
Solanes_de_la_Peguera Solanes_de_la_Peguera NULL 42.45 1.51667 ADMD 0
Serra_de_les_Solanelles Serra_de_les_Solanelles NULL 42.55 1.66667 RDGE 0
Riu_de_les_Solanelles Riu_de_les_Solanelles NULL 42.55 1.68333 STM 0
Collet_de_les_Solanelles Collet_de_les_Solanelles NULL 42.55 1.61667 PASS 0
Collada_de_les_Solanelles Collada_de_les_Solanelles NULL 42.55 1.66667 PASS 0
Clot_de_les_Solanelles Clot_de_les_Solanelles NULL 42.55 1.63333 RVN 0
Canal_de_les_Solanelles Canal_de_les_Solanelles NULL 42.55 1.63333 STM 0
Cabana_de_les_Solanelles Cabana_de_les_Solanelles NULL 42.53333 1.66667 HUT 0
Solanelles Solanelles NULL 42.55 1.66667 LCTY 0
Barranc_de_la_Solana_del_Pas_de_la_Casa Barranc_de_la_Solana_del_Pas_de_la_Casa NULL 42.53333 1.73333 STM 0
Solana_del_Lloser_d’Ordino Solana_del_Lloser_d'Ordino NULL 42.55 1.51667 LCTY 0
Riu_de_la_Solana_del_Forn Riu_de_la_Solana_del_Forn NULL 42.56154 1.67948 STM 0
Obagot_de_la_Solana_del_Forn Obagot_de_la_Solana_del_Forn NULL 42.55 1.66667 SLP 0
Solana_del_Forn Solana_del_Forn NULL 42.55 1.66667 ADMD 0
Solana_de_l’Estall_Serrer Solana_de_l'Estall_Serrer NULL 42.5 1.61667 ADMD 0
Solana_de_les_Aubes Solana_de_les_Aubes NULL 42.56667 1.56667 LCTY 0
Solana_de_la_Baronia Solana_de_la_Baronia NULL 42.53333 1.61667 ADMD 0
Prats_de_la_Solana Prats_de_la_Solana NULL 42.56667 1.78333 GRAZ 0
Camí_de_la_Solana Cami_de_la_Solana NULL 42.43333 1.45 TRL 0
Bosc_de_la_Solana Bosc_de_la_Solana NULL 42.51667 1.46667 FRST 0
Solà_de_Soldeu Sola_de_Soldeu NULL 42.58333 1.66667 ADMD 0
Serra_del_Solà_de_Sispony Serra_del_Sola_de_Sispony NULL 42.53333 1.48333 MT 0
Pic_del_Solà_d’Erts Pic_del_Sola_d'Erts NULL 42.56667 1.5 PK 0
Solà_d’Erts Sola_d'Erts NULL 42.56667 1.5 ADMD 0
Solà_de_Riambert Sola_de_Riambert NULL 42.58333 1.53333 ADMD 0
Serra_del_Solà_de_Ràmio Serra_del_Sola_de_Ramio NULL 42.5 1.58333 MT 0
Solà_de_Ràmio Sola_de_Ramio NULL 42.5 1.58333 ADMD 0
Bosc_del_Solà_d’Envalira Bosc_del_Sola_d'Envalira NULL 42.55 1.68333 FRST 0
Carena_del_Solà_d’Engordany Carena_del_Sola_d'Engordany NULL 42.51667 1.55 RDGE 0
Solá_d’Engordany Sola_d'Engordany NULL 42.51667 1.53333 ADMD 0
Solà_d’Enclar Sola_d'Enclar NULL 42.51667 1.48333 ADMD 0
Solà_d’Encamp Sola_d'Encamp NULL 42.53333 1.58333 ADMD 0
Cresta_del_Solà_de_Nadal Cresta_del_Sola_de_Nadal NULL 42.51667 1.51667 SPUR 0
Aspres_del_Solà_de_Nadal Aspres_del_Sola_de_Nadal NULL 42.51667 1.51667 VINS 0
Solà_de_Mossers Sola_de_Mossers NULL 42.45 1.46667 ADMD 0
Solà_de_Mereig Sola_de_Mereig NULL 42.56667 1.58333 LCTY 0
Solà_del_Tarter Sola_del_Tarter NULL 42.58333 1.65 ADMD 0
Solà_dels_Sulls Sola_dels_Sulls NULL 42.48333 1.56667 ADMD 0
Solà_dels_Plans Sola_dels_Plans NULL 42.58333 1.63333 ADMD 0
Serra_del_Sola_del_Quart_Mitger Serra_del_Sola_del_Quart_Mitger NULL 42.55 1.55 RDGE 0
Solà_del_Quart_Mitger Sola_del_Quart_Mitger NULL 42.55 1.53333 ADMD 0
Solà_del_Pui Sola_del_Pui NULL 42.55 1.51667 ADMD 0
Cap_del_Solà_de_les_Comes Cap_del_Sola_de_les_Comes NULL 42.58333 1.5 PK 0
Canal_del_Solà_de_les_Comes Canal_del_Sola_de_les_Comes NULL 42.56667 1.48333 STM 0
Solà_de_la_Moixella Sola_de_la_Moixella NULL 42.45 1.48333 ADMD 0
Balmes_del_Solà_de_l’Allau Balmes_del_Sola_de_l'Allau NULL 42.6 1.53333 CLF 0
Solà_de_l’Aldosa Sola_de_l'Aldosa NULL 42.58333 1.61667 ADMD 0
Solà_de_la_Farga Sola_de_la_Farga NULL 42.48333 1.6 ADMD 0
Canals_del_Solà_de_Juclar Canals_del_Sola_de_Juclar NULL 42.6 1.7 RVN 0
Solà_d’Arcavell Sola_d'Arcavell Sola_d'Arcabell,Sola_d'Arcavell,Sola_d’Arcabell,Solà_d’Arcavell 42.43333 1.48333 ADMD 0
Solà_d’Andorra Sola_d'Andorra NULL 42.51667 1.5 ADMD 0
Solà_d’Aixovall Sola_d'Aixovall NULL 42.48333 1.48333 ADMD 0
Riu_del_Solà Riu_del_Sola NULL 42.55 1.46667 STM 0
Clot_del_Solà Clot_del_Sola NULL 42.46667 1.46667 RVN 0
Carrera_del_Solà Carrera_del_Sola NULL 42.53333 1.58333 TRL 0
Costa_del_Sodorn Costa_del_Sodorn NULL 42.5 1.46667 SLP 0
